date,discharge
2003-01-01,11.64
2003-01-02,11.212
2003-01-03,13.065
2003-01-04,13.542
2003-01-05,13.321
2003-01-06,12.451
2003-01-07,11.707
2003-01-08,11.214
2003-01-09,9.408
2003-01-10,11.096
2003-01-11,12.361
2003-01-12,13.264
2003-01-13,14.088
2003-01-14,14.376
2003-01-15,14.569
2003-01-16,14.723
2003-01-17,14.53
2003-01-18,13.768
2003-01-19,13.523
2003-01-20,12.756
2003-01-21,11.588
2003-01-22,10.183
2003-01-23,9.94
2003-01-24,10.069
2003-01-25,10.823
2003-01-26,11.465
2003-01-27,11.023
2003-01-28,10.596
2003-01-29,9.597
2003-01-30,8.289
2003-01-31,8.086
2003-02-01,7.829
2003-02-02,7.436
2003-02-03,6.749
2003-02-04,5.933
2003-02-05,5.316
2003-02-06,5.223
2003-02-07,5.039
2003-02-08,4.925
2003-02-09,4.726
2003-02-10,4.914
2003-02-11,4.785
2003-02-12,4.597
2003-02-13,4.826
2003-02-14,4.926
2003-02-15,4.213
2003-02-16,3.913
2003-02-17,3.903
2003-02-18,3.944
2003-02-19,4.421
2003-02-20,4.378
2003-02-21,4.005
2003-02-22,3.608
2003-02-23,4.08
2003-02-24,9.933
2003-02-25,11.606
2003-02-26,9.965
2003-02-27,17.053
2003-02-28,21.723
2003-03-01,25.66
2003-03-02,27.506
2003-03-03,27.506
2003-03-04,25.735
2003-03-05,24.042
2003-03-06,23.034
2003-03-07,23.376
2003-03-08,22.573
2003-03-09,22.789
2003-03-10,23.474
2003-03-11,24.916
2003-03-12,25.961
2003-03-13,26.375
2003-03-14,26.453
2003-03-15,27.533
2003-03-16,28.495
2003-03-17,28.876
2003-03-18,30.14
2003-03-19,30.39
2003-03-20,30.393
2003-03-21,32.926
2003-03-22,35.202
2003-03-23,36.618
2003-03-24,35.081
2003-03-25,32.472
2003-03-26,28.677
2003-03-27,23.661
2003-03-28,20.292
2003-03-29,18.54
2003-03-30,27.418
2003-03-31,30.614
2003-04-01,29.394
2003-04-02,27.299
2003-04-03,31.707
2003-04-04,147.762
2003-04-05,165.964
2003-04-06,106.458
2003-04-07,66.904
2003-04-08,66.73
2003-04-09,64.595
2003-04-10,41.172
2003-04-11,38.321
2003-04-12,36.894
2003-04-13,35.92
2003-04-14,33.946
2003-04-15,32.69
2003-04-16,33.271
2003-04-17,31.233
2003-04-18,29.972
2003-04-19,30.696
2003-04-20,31.573
2003-04-21,29.945
2003-04-22,29.204
2003-04-23,24.935
2003-04-24,21.935
2003-04-25,20.278
2003-04-26,21.251
2003-04-27,34.608
2003-04-28,36.564
2003-04-29,32.693
2003-04-30,31.316
2003-05-01,32.258
2003-05-02,34.096
2003-05-03,36.041
2003-05-04,38.705
2003-05-05,42.439
2003-05-06,47.333
2003-05-07,58.591
2003-05-08,52.37
2003-05-09,49.453
2003-05-10,47.479
2003-05-11,48.672
2003-05-12,50.665
2003-05-13,51.751
2003-05-14,47.219
2003-05-15,41.538
2003-05-16,36.927
2003-05-17,35.434
2003-05-18,34.067
2003-05-19,31.017
2003-05-20,27.179
2003-05-21,22.635
2003-05-22,20.01
2003-05-23,17.512
2003-05-24,16.177
2003-05-25,18.227
2003-05-26,21.747
2003-05-27,25.673
2003-05-28,35.129
2003-05-29,48.637
2003-05-30,131.626
2003-05-31,129.091
2003-06-01,125.89
2003-06-02,122.464
2003-06-03,118.425
2003-06-04,113.156
2003-06-05,121.216
2003-06-06,128.13
2003-06-07,113.494
2003-06-08,130.99
2003-06-09,140.848
2003-06-10,217.733
2003-06-11,260.863
2003-06-12,242.383
2003-06-13,252.526
2003-06-14,226.556
2003-06-15,171.806
2003-06-16,155.187
2003-06-17,141.102
2003-06-18,136.524
2003-06-19,132.081
2003-06-20,127.028
2003-06-21,121.523
2003-06-22,111.854
2003-06-23,107.291
2003-06-24,97.605
2003-06-25,137.25
2003-06-26,246.288
2003-06-27,345.672
2003-06-28,281.282
2003-06-29,243.825
2003-06-30,200.867
2003-07-01,153.886
2003-07-02,145.991
2003-07-03,141.05
2003-07-04,132.201
2003-07-05,121.114
2003-07-06,113.855
2003-07-07,115.344
2003-07-08,195.042
2003-07-09,278.479
2003-07-10,288.065
2003-07-11,246.43
2003-07-12,222.797
2003-07-13,198.431
2003-07-14,271.47
2003-07-15,273.58
2003-07-16,272.678
2003-07-17,286.142
2003-07-18,333.755
2003-07-19,379.521
2003-07-20,421.197
2003-07-21,403.609
2003-07-22,386.377
2003-07-23,356.915
2003-07-24,339.377
2003-07-25,317.993
2003-07-26,307.484
2003-07-27,336.826
2003-07-28,340.794
2003-07-29,306.184
2003-07-30,291.195
2003-07-31,297.304
2003-08-01,416.658
2003-08-02,424.028
