date;discharge
1987-04-01;      4.000
1987-04-02;      4.000
1987-04-03;      4.000
1987-04-04;      5.000
1987-04-05;      5.000
1987-04-06;      5.000
1987-04-07;      5.000
1987-04-08;      4.000
1987-04-09;      4.000
1987-04-10;      4.000
1987-04-11;      4.000
1987-04-12;      3.000
1987-04-13;      3.000
1987-04-14;      3.000
1987-04-15;      2.000
1987-04-16;      3.000
1987-04-17;      3.000
1987-04-18;      3.000
1987-04-19;      4.000
1987-04-20;      4.000
1987-04-21;      5.000
1987-04-22;      5.000
1987-04-23;      4.000
1987-04-24;      4.000
1987-04-25;      4.000
1987-04-26;      5.000
1987-04-27;      5.000
1987-04-28;      3.000
1987-04-29;      3.000
1987-04-30;      6.000
1987-05-01;      9.000
1987-05-02;      6.000
1987-05-03;      6.000
1987-05-04;      5.000
1987-05-05;      6.000
1987-05-06;      5.000
1987-05-07;      5.000
1987-05-08;      5.000
1987-05-09;      4.000
1987-05-10;      4.000
1987-05-11;      5.000
1987-05-12;      4.000
1987-05-13;     10.000
1987-05-14;      8.000
1987-05-15;      7.000
1987-05-16;      7.000
1987-05-17;      5.000
1987-05-18;      4.000
1987-05-19;      6.000
1987-05-20;      3.000
1987-05-21;      6.000
1987-05-22;      5.000
1987-05-23;      9.000
1987-05-24;     15.000
1987-05-25;     11.000
1987-05-26;      8.000
1987-05-27;      7.000
1987-05-28;     11.000
1987-05-29;      9.000
1987-05-30;     23.000
1987-05-31;     25.000
1987-06-01;     17.000
1987-06-02;     25.000
1987-06-03;     24.000
1987-06-04;     21.000
1987-06-05;     30.000
1987-06-06;     32.000
1987-06-07;     24.000
1987-06-08;     28.000
1987-06-09;     24.000
1987-06-10;     21.000
1987-06-11;     17.000
1987-06-12;     15.000
1987-06-13;     13.000
1987-06-14;     11.000
1987-06-15;     36.000
1987-06-16;     23.000
1987-06-17;     18.000
1987-06-18;     16.000
1987-06-19;     19.000
1987-06-20;     18.000
1987-06-21;     16.000
1987-06-22;     14.000
1987-06-23;     24.000
1987-06-24;     39.000
1987-06-25;     51.000
1987-06-26;     47.000
1987-06-27;     57.000
1987-06-28;     43.000
1987-06-29;     39.000
1987-06-30;     60.000
1987-07-01;     52.000
1987-07-02;     69.000
1987-07-03;     51.000
1987-07-04;     32.000
1987-07-05;     23.000
1987-07-06;     20.000
1987-07-07;     19.000
1987-07-08;     19.000
1987-07-09;     14.000
1987-07-10;     18.000
1987-07-11;     23.000
1987-07-12;     21.000
1987-07-13;    192.000
1987-07-14;    145.000
1987-07-15;    133.000
1987-07-16;     60.000
1987-07-17;     51.000
1987-07-18;     38.000
1987-07-19;     50.000
1987-07-20;     45.000
1987-07-21;     37.000
1987-07-22;     33.000
1987-07-23;     32.000
1987-07-24;     31.000
1987-07-25;     29.000
1987-07-26;     27.000
1987-07-27;     31.000
1987-07-28;     44.000
1987-07-29;     42.000
1987-07-30;     60.000
1987-07-31;     57.000
1987-08-01;     54.000
1987-08-02;     51.000
1987-08-03;     48.000
1987-08-04;     39.000
1987-08-05;     34.000
1987-08-06;     32.000
1987-08-07;     31.000
1987-08-08;     30.000
1987-08-09;     28.000
1987-08-10;     38.000
1987-08-11;     40.000
1987-08-12;     44.000
1987-08-13;     51.000
1987-08-14;     68.000
1987-08-15;     64.000
1987-08-16;    106.000
1987-08-17;    177.000
1987-08-18;    266.000
1987-08-19;    186.000
1987-08-20;    168.000
1987-08-21;    194.000
1987-08-22;    170.000
1987-08-23;    151.000
1987-08-24;    160.000
1987-08-25;    196.000
1987-08-26;    187.000
1987-08-27;    277.000
1987-08-28;    223.000
1987-08-29;    219.000
1987-08-30;    196.000
1987-08-31;    276.000
1987-09-01;    306.000
1987-09-02;    256.000
1987-09-03;    219.000
1987-09-04;    309.000
1987-09-05;    289.000
1987-09-06;    257.000
1987-09-07;    249.000
1987-09-08;    184.000
1987-09-09;    186.000
1987-09-10;    255.000
1987-09-11;    195.000
1987-09-12;    187.000
1987-09-13;    201.000
1987-09-14;    204.000
1987-09-15;    179.000
1987-09-16;    143.000
1987-09-17;    119.000
1987-09-18;    144.000
1987-09-19;    147.000
1987-09-20;    125.000
1987-09-21;    187.000
1987-09-22;    277.000
1987-09-23;    266.000
1987-09-24;    210.000
1987-09-25;    166.000
1987-09-26;    132.000
1987-09-27;    111.000
1987-09-28;    102.000
1987-09-29;     97.000
1987-09-30;     94.000
1987-10-01;     82.000
1987-10-02;     73.000
1987-10-03;     73.000
1987-10-04;     93.000
1987-10-05;    113.000
1987-10-06;    101.000
1987-10-07;     92.000
1987-10-08;     88.000
1987-10-09;     85.000
1987-10-10;     79.000
1987-10-11;     69.000
1987-10-12;     64.000
1987-10-13;     63.000
1987-10-14;     59.000
1987-10-15;     57.000
1987-10-16;     55.000
1987-10-17;     53.000
1987-10-18;     57.000
1987-10-19;     63.000
1987-10-20;     57.000
1987-10-21;     50.000
1987-10-22;     47.000
1987-10-23;     44.000
1987-10-24;     44.000
1987-10-25;     41.000
1987-10-26;     39.000
1987-10-27;     28.000
1987-10-28;     38.000
1987-10-29;     37.000
1987-10-30;     34.000
1987-10-31;     31.000
1987-11-01;     28.000
1987-11-02;     25.000
1987-11-03;     29.000
1987-11-04;     27.000
1987-11-05;     25.000
1987-11-06;     24.000
1987-11-07;     24.000
1987-11-08;     24.000
1987-11-09;     22.000
1987-11-10;     20.000
1987-11-11;     19.000
1987-11-12;     18.000
1987-11-13;     19.000
1987-11-14;     19.000
1987-11-15;     19.000
1987-11-16;     19.000
1987-11-17;     18.000
1987-11-18;     18.000
1987-11-19;     17.000
1987-11-20;     17.000
1987-11-21;     16.000
1987-11-22;     16.000
1987-11-23;     15.000
1987-11-24;     14.000
1987-11-25;     14.000
1987-11-26;     13.000
1987-11-27;     13.000
1987-11-28;     12.000
1987-11-29;     12.000
1987-11-30;     11.000
1987-12-01;     12.000
1987-12-02;     12.000
1987-12-03;     11.000
1987-12-04;     11.000
1987-12-05;     11.000
1987-12-06;     10.000
1987-12-07;     10.000
1987-12-08;     10.000
1987-12-09;     10.000
1987-12-10;     10.000
1987-12-11;     10.000
1987-12-12;     10.000
1987-12-13;      9.000
1987-12-14;      9.000
1987-12-15;      9.000
1987-12-16;      9.000
1987-12-17;      9.000
1987-12-18;      9.000
1987-12-19;      9.000
1987-12-20;      8.000
1987-12-21;      8.000
1987-12-22;      8.000
1987-12-23;      8.000
1987-12-24;      8.000
1987-12-25;      8.000
1987-12-26;      8.000
1987-12-27;      8.000
1987-12-28;      8.000
1987-12-29;      7.000
1987-12-30;      7.000
1987-12-31;   -999.000
1988-01-01;      7.000
1988-01-02;      7.000
1988-01-03;      7.000
1988-01-04;      7.000
1988-01-05;      7.000
1988-01-06;      7.000
1988-01-07;      7.000
1988-01-08;      7.000
1988-01-09;      7.000
1988-01-10;      7.000
1988-01-11;      7.000
1988-01-12;      7.000
1988-01-13;      6.000
1988-01-14;      6.000
1988-01-15;      6.000
1988-01-16;      6.000
1988-01-17;      6.000
1988-01-18;      6.000
1988-01-19;      6.000
1988-01-20;      6.000
1988-01-21;      6.000
1988-01-22;      6.000
1988-01-23;      5.000
1988-01-24;      5.000
1988-01-25;      5.000
1988-01-26;      5.000
1988-01-27;      5.000
1988-01-28;      5.000
1988-01-29;      5.000
1988-01-30;      5.000
1988-01-31;      5.000
1988-02-01;      5.000
