date;discharge
1954-06-01;     52.000
1954-06-02;     60.000
1954-06-03;     86.000
1954-06-04;    111.000
1954-06-05;    142.000
1954-06-06;    154.000
1954-06-07;    175.000
1954-06-08;    184.000
1954-06-09;    176.000
1954-06-10;    170.000
1954-06-11;    159.000
1954-06-12;    150.000
1954-06-13;    138.000
1954-06-14;    130.000
1954-06-15;    118.000
1954-06-16;    112.000
1954-06-17;    111.000
1954-06-18;    117.000
1954-06-19;    114.000
1954-06-20;    109.000
1954-06-21;    104.000
1954-06-22;    106.000
1954-06-23;    109.000
1954-06-24;    114.000
1954-06-25;    133.000
1954-06-26;    162.000
1954-06-27;    204.000
1954-06-28;    217.000
1954-06-29;    258.000
1954-06-30;    293.000
1954-07-01;    315.000
1954-07-02;    316.000
1954-07-03;    323.000
1954-07-04;    329.000
1954-07-05;    328.000
1954-07-06;    315.000
1954-07-07;    345.000
1954-07-08;    367.000
1954-07-09;    407.000
1954-07-10;    430.000
1954-07-11;    436.000
1954-07-12;    436.000
1954-07-13;    428.000
1954-07-14;    435.000
1954-07-15;    450.000
1954-07-16;    440.000
1954-07-17;    400.000
1954-07-18;    380.000
1954-07-19;    399.000
1954-07-20;    407.000
1954-07-21;    428.000
1954-07-22;    471.000
1954-07-23;    580.000
1954-07-24;    709.000
1954-07-25;    728.000
1954-07-26;    724.000
1954-07-27;    730.000
1954-07-28;    730.000
1954-07-29;    697.000
1954-07-30;    745.000
1954-07-31;    779.000
1954-08-01;    805.000
1954-08-02;    821.000
1954-08-03;    823.000
1954-08-04;    828.000
1954-08-05;    814.000
1954-08-06;    779.000
1954-08-07;    773.000
1954-08-08;    773.000
1954-08-09;    771.000
1954-08-10;    758.000
1954-08-11;    741.000
1954-08-12;    747.000
1954-08-13;    754.000
1954-08-14;    792.000
1954-08-15;    832.000
1954-08-16;    857.000
1954-08-17;    911.000
1954-08-18;    963.000
1954-08-19;    991.000
1954-08-20;   1020.000
1954-08-21;   1020.000
1954-08-22;   1010.000
1954-08-23;    993.000
1954-08-24;    959.000
1954-08-25;    931.000
1954-08-26;    895.000
1954-08-27;    857.000
1954-08-28;    850.000
1954-08-29;    866.000
1954-08-30;    917.000
1954-08-31;    972.000
1954-09-01;   1010.000
1954-09-02;   1050.000
1954-09-03;   1090.000
1954-09-04;   1110.000
1954-09-05;   1140.000
1954-09-06;   1150.000
1954-09-07;   1170.000
1954-09-08;   1180.000
1954-09-09;   1170.000
1954-09-10;   1160.000
1954-09-11;   1180.000
1954-09-12;   1210.000
1954-09-13;   1230.000
