Time,Discharge(m^3 s^-1),Max,Min
2003-07-01,0.0,0.0,0.0
2003-07-02,0.0,0.0,0.0
2003-07-03,0.0,0.0,0.0
2003-07-04,0.0,0.0,0.0
2003-07-05,0.005,0.01,0.0
2003-07-06,0.01,0.01,0.01
2003-07-07,0.025,0.05,0.01
2003-07-08,0.08,0.14,0.05
2003-07-09,0.645,1.2,0.15
2003-07-10,1.27,1.84,1.15
2003-07-11,3.38,4.35,1.89
2003-07-12,5.3149999999999995,6.69,4.37
2003-07-13,7.630000000000001,7.82,6.76
2003-07-14,7.24,7.75,7.02
2003-07-15,8.74,11.0,7.15
2003-07-16,10.79,11.61,10.51
2003-07-17,14.355,16.4,11.69
2003-07-18,18.605,19.78,16.48
2003-07-19,21.025,23.93,19.81
2003-07-20,29.909999999999997,33.45,24.16
2003-07-21,37.07,44.8,33.53
2003-07-22,58.6,67.32,45.38
2003-07-23,76.045,81.57,67.68
2003-07-24,82.545,83.26,80.39
2003-07-25,78.17,80.25,76.11
2003-07-26,67.495,75.9,59.07
2003-07-27,51.085,58.72,45.62
2003-07-28,40.815,45.4,37.26
2003-07-29,33.41,37.09,31.5
2003-07-30,30.465,31.46,28.88
2003-07-31,25.7,28.78,22.75
2003-08-01,20.135,22.62,18.69
2003-08-02,18.48,19.55,18.15
2003-08-03,21.395,23.64,19.61
2003-08-04,23.64,24.0,23.33
2003-08-05,22.225,23.57,20.2
2003-08-06,18.555,20.12,17.56
2003-08-07,17.115000000000002,17.53,17.01
2003-08-08,18.939999999999998,20.39,17.36
2003-08-09,20.955,21.15,20.43
2003-08-10,21.534999999999997,21.74,21.16
2003-08-11,21.855,23.51,21.52
2003-08-12,26.895000000000003,28.78,23.66
2003-08-13,31.1,33.91,28.84
2003-08-14,35.345,36.41,34.02
2003-08-15,41.04,45.44,36.5
2003-08-16,48.36,50.24,45.59
2003-08-17,48.055,50.27,45.57
2003-08-18,46.120000000000005,51.86,44.96
2003-08-19,107.145,144.05,52.52
2003-08-20,142.91,148.04,138.12
2003-08-21,136.81,145.76,134.83
2003-08-22,140.58499999999998,141.81,136.66
2003-08-23,128.15,138.47,124.21
2003-08-24,150.39499999999998,161.22,127.64
2003-08-25,183.845,229.11,161.38
2003-08-26,291.29499999999996,322.35,231.91
2003-08-27,331.16999999999996,335.11,316.46
2003-08-28,267.485,314.97,222.64
2003-08-29,182.015,220.71,161.38
2003-08-30,155.10500000000002,160.95,147.63
2003-08-31,135.405,147.05,131.53
2003-09-01,139.47500000000002,143.22,132.25
2003-09-02,143.03,145.48,142.13
2003-09-03,148.035,156.71,145.6
2003-09-04,150.905,157.57,147.39
2003-09-05,168.3,176.2,151.32
2003-09-06,181.16,182.75,176.38
2003-09-07,165.45,180.64,147.79
2003-09-08,129.135,146.96,117.49
2003-09-09,113.4,117.09,112.32
2003-09-10,118.995,119.53,116.29
2003-09-11,120.64500000000001,132.04,117.09
2003-09-12,152.97,163.24,132.89
2003-09-13,173.56,186.63,163.53
2003-09-14,194.165,196.12,187.31
2003-09-15,200.35,207.87,190.4
2003-09-16,216.235,227.03,203.39
2003-09-17,245.49,271.21,227.26
2003-09-18,303.985,333.87,272.58
2003-09-19,335.42499999999995,338.83,332.07
2003-09-20,335.625,359.42,326.16
2003-09-21,352.295,363.05,336.75
2003-09-22,330.025,336.18,327.21
2003-09-23,320.66999999999996,326.89,316.22
2003-09-24,327.475,355.83,314.09
2003-09-25,360.24,364.93,347.6
2003-09-26,320.955,346.63,299.89
2003-09-27,263.14,298.83,228.72
2003-09-28,202.61,227.23,184.63
2003-09-29,165.435,183.82,150.49
2003-09-30,133.78,149.86,121.11
2003-10-01,114.82,120.67,113.63
2003-10-02,123.545,130.28,115.33
2003-10-03,132.89,136.25,130.4
2003-10-04,132.95,136.48,127.57
2003-10-05,119.245,127.34,109.0
