Time,Discharge(m^3 s^-1),Max,Min
2003-07-01,0.0,0.0,0.0
2003-07-02,0.0,0.0,0.0
2003-07-03,0.0,0.0,0.0
2003-07-04,0.015,0.03,0.0
2003-07-05,0.07500000000000001,0.13,0.03
2003-07-06,0.20500000000000002,0.28,0.13
2003-07-07,0.37,0.54,0.28
2003-07-08,0.78,0.92,0.55
2003-07-09,1.06,1.1,0.93
2003-07-10,0.995,1.09,0.92
2003-07-11,0.91,0.92,0.9
2003-07-12,0.875,0.9,0.86
2003-07-13,0.83,0.86,0.8
2003-07-14,0.76,0.8,0.74
2003-07-15,0.71,0.74,0.69
2003-07-16,0.66,0.69,0.64
2003-07-17,0.675,0.81,0.62
2003-07-18,1.4300000000000002,2.05,0.82
2003-07-19,2.95,4.28,2.07
2003-07-20,5.645,6.5,4.35
2003-07-21,7.275,7.69,6.53
2003-07-22,8.305,9.33,7.7
2003-07-23,13.17,16.62,9.42
2003-07-24,18.91,21.02,16.74
2003-07-25,23.845,25.62,21.15
2003-07-26,26.130000000000003,26.72,25.67
2003-07-27,28.545,30.46,26.77
2003-07-28,31.799999999999997,32.02,30.55
2003-07-29,31.42,31.9,30.4
2003-07-30,27.924999999999997,30.32,25.62
2003-07-31,23.235,25.51,21.66
2003-08-01,21.200000000000003,21.7,21.05
2003-08-02,23.28,25.4,21.75
2003-08-03,32.04,41.19,25.54
2003-08-04,55.3,67.97,41.71
2003-08-05,90.7,112.1,68.64
2003-08-06,124.1,126.28,112.93
2003-08-07,118.725,124.96,112.9
2003-08-08,109.3,112.67,108.55
2003-08-09,114.61,120.67,109.39
2003-08-10,126.85,130.24,120.95
2003-08-11,130.20499999999998,130.84,128.15
2003-08-12,123.35,127.99,118.82
2003-08-13,113.655,118.61,109.84
2003-08-14,106.405,109.68,104.18
2003-08-15,103.12,104.11,102.4
2003-08-16,101.10499999999999,102.36,99.79
2003-08-17,96.745,99.71,93.48
2003-08-18,89.64,93.32,86.62
2003-08-19,83.225,86.49,80.28
2003-08-20,76.91,80.14,74.62
2003-08-21,74.22,76.27,73.8
2003-08-22,83.4,91.41,76.47
2003-08-23,108.225,125.01,91.88
2003-08-24,138.185,144.51,125.72
2003-08-25,146.81,147.57,144.68
2003-08-26,148.685,150.44,147.6
2003-08-27,154.915,161.67,150.57
2003-08-28,199.16,263.65,162.23
2003-08-29,349.815,390.58,267.58
2003-08-30,399.42,404.68,391.33
2003-08-31,415.415,419.41,405.08
2003-09-01,410.5,418.43,406.89
2003-09-02,426.51,461.2,407.5
2003-09-03,514.835,546.17,463.37
2003-09-04,553.115,553.96,546.9
2003-09-05,548.7049999999999,552.83,536.81
2003-09-06,507.09499999999997,535.96,475.91
2003-09-07,441.265,474.45,415.59
2003-09-08,396.755,414.58,390.52
2003-09-09,399.105,422.46,390.54
2003-09-10,535.37,718.34,424.46
2003-09-11,967.43,1091.54,729.46
2003-09-12,1113.06,1116.57,1094.04
2003-09-13,1081.8200000000002,1103.45,1062.99
2003-09-14,1038.22,1062.16,1009.11
2003-09-15,948.005,1007.35,884.18
2003-09-16,807.74,881.12,745.87
2003-09-17,678.23,743.11,630.14
2003-09-18,592.925,628.41,563.64
2003-09-19,533.1700000000001,562.25,515.9
2003-09-20,509.845,515.38,508.08
2003-09-21,521.835,529.99,514.64
2003-09-22,568.425,619.88,530.74
2003-09-23,678.1800000000001,718.47,622.59
2003-09-24,763.0550000000001,800.64,720.19
2003-09-25,819.59,823.35,802.16
