Date,Daily Avg Q (cms)
01-Jan-2001,1.74
02-Jan-2001,1.74
03-Jan-2001,1.735
04-Jan-2001,1.73
05-Jan-2001,1.73
06-Jan-2001,1.725
07-Jan-2001,1.72
08-Jan-2001,1.72
09-Jan-2001,1.72
10-Jan-2001,1.71
11-Jan-2001,1.71
12-Jan-2001,1.71
13-Jan-2001,1.705
14-Jan-2001,1.7
15-Jan-2001,1.7
16-Jan-2001,1.7
17-Jan-2001,1.695
18-Jan-2001,1.69
19-Jan-2001,1.69
20-Jan-2001,1.69
21-Jan-2001,1.69
22-Jan-2001,1.68
23-Jan-2001,1.68
24-Jan-2001,1.68
25-Jan-2001,1.68
26-Jan-2001,1.675
27-Jan-2001,1.67
28-Jan-2001,1.67
29-Jan-2001,1.67
30-Jan-2001,1.67
31-Jan-2001,1.66
01-Feb-2001,1.66
02-Feb-2001,1.66
03-Feb-2001,1.66
04-Feb-2001,1.66
05-Feb-2001,1.65
06-Feb-2001,1.65
07-Feb-2001,1.65
08-Feb-2001,1.65
09-Feb-2001,1.65
10-Feb-2001,1.64
11-Feb-2001,1.64
12-Feb-2001,1.64
13-Feb-2001,1.64
14-Feb-2001,1.64
15-Feb-2001,1.63
16-Feb-2001,1.63
17-Feb-2001,1.63
18-Feb-2001,1.63
19-Feb-2001,1.63
20-Feb-2001,1.625
21-Feb-2001,1.62
22-Feb-2001,1.62
23-Feb-2001,1.62
24-Feb-2001,1.62
25-Feb-2001,1.62
26-Feb-2001,1.61
27-Feb-2001,1.61
28-Feb-2001,1.61
01-Mar-2001,1.61
02-Mar-2001,1.61
03-Mar-2001,1.605
04-Mar-2001,1.6
05-Mar-2001,1.6
06-Mar-2001,1.6
07-Mar-2001,1.6
08-Mar-2001,1.6
09-Mar-2001,1.59
10-Mar-2001,1.59
11-Mar-2001,1.59
12-Mar-2001,1.59
13-Mar-2001,1.59
14-Mar-2001,1.59
15-Mar-2001,1.58
16-Mar-2001,1.58
17-Mar-2001,1.58
18-Mar-2001,1.58
19-Mar-2001,1.58
20-Mar-2001,1.58
21-Mar-2001,1.58
22-Mar-2001,1.57
23-Mar-2001,1.57
24-Mar-2001,1.57
25-Mar-2001,1.57
26-Mar-2001,1.57
27-Mar-2001,1.56
28-Mar-2001,1.562
29-Mar-2001,1.592
30-Mar-2001,1.692
31-Mar-2001,1.774
01-Apr-2001,1.818
02-Apr-2001,1.816
03-Apr-2001,1.786
04-Apr-2001,1.765
05-Apr-2001,1.765
06-Apr-2001,1.801
07-Apr-2001,1.85
08-Apr-2001,1.875
09-Apr-2001,1.871
10-Apr-2001,1.87
11-Apr-2001,1.9
12-Apr-2001,1.959
13-Apr-2001,2.059
14-Apr-2001,2.192
15-Apr-2001,2.364
16-Apr-2001,2.502
17-Apr-2001,2.359
18-Apr-2001,1.981
19-Apr-2001,1.847
20-Apr-2001,1.92
21-Apr-2001,2.038
22-Apr-2001,2.41
23-Apr-2001,3.207
24-Apr-2001,3.686
25-Apr-2001,3.646
26-Apr-2001,3.662
27-Apr-2001,3.749
28-Apr-2001,3.705
29-Apr-2001,3.419
30-Apr-2001,3.024
01-May-2001,2.706
02-May-2001,2.524
03-May-2001,2.453
04-May-2001,2.371
05-May-2001,2.296
06-May-2001,2.348
07-May-2001,2.468
08-May-2001,2.528
09-May-2001,2.457
10-May-2001,2.489
11-May-2001,2.681
12-May-2001,2.998
13-May-2001,3.517
14-May-2001,4.002
15-May-2001,4.285
16-May-2001,4.529
17-May-2001,5.07
18-May-2001,5.81
19-May-2001,5.83
20-May-2001,5.437
21-May-2001,5.968
22-May-2001,6.868
23-May-2001,7.765
24-May-2001,8.797
25-May-2001,9.835
26-May-2001,10.758
27-May-2001,11.517
28-May-2001,11.889
29-May-2001,11.807
30-May-2001,11.452
31-May-2001,11.05
01-Jun-2001,10.507
02-Jun-2001,9.643
03-Jun-2001,8.53
04-Jun-2001,7.813
05-Jun-2001,7.943
06-Jun-2001,7.718
07-Jun-2001,6.991
08-Jun-2001,6.522
09-Jun-2001,6.456
10-Jun-2001,6.28
11-Jun-2001,5.75
12-Jun-2001,5.25
13-Jun-2001,5.347
14-Jun-2001,6.179
15-Jun-2001,7.127
16-Jun-2001,7.84
17-Jun-2001,8.415
18-Jun-2001,9.231
19-Jun-2001,10.381
20-Jun-2001,11.704
21-Jun-2001,13.057
22-Jun-2001,14.32
23-Jun-2001,15.38
24-Jun-2001,16.373
25-Jun-2001,17.195
26-Jun-2001,17.758
27-Jun-2001,17.939
28-Jun-2001,17.348
29-Jun-2001,16.449
30-Jun-2001,15.779
01-Jul-2001,14.95
02-Jul-2001,13.915
03-Jul-2001,12.945
04-Jul-2001,12.666
05-Jul-2001,13.129
06-Jul-2001,13.751
07-Jul-2001,13.905
08-Jul-2001,13.784
09-Jul-2001,14.101
10-Jul-2001,15.047
11-Jul-2001,16.47
12-Jul-2001,17.999
13-Jul-2001,18.84
14-Jul-2001,18.979
15-Jul-2001,18.86
16-Jul-2001,18.792
17-Jul-2001,18.974
18-Jul-2001,19.38
19-Jul-2001,20.26
20-Jul-2001,23.454
21-Jul-2001,28.418
22-Jul-2001,33.333
23-Jul-2001,37.915
24-Jul-2001,42.739
25-Jul-2001,46.627
26-Jul-2001,48.249
27-Jul-2001,47.213
28-Jul-2001,44.823
29-Jul-2001,43.988
30-Jul-2001,46.224
31-Jul-2001,50.444
01-Aug-2001,55.853
02-Aug-2001,62.563
03-Aug-2001,69.799
04-Aug-2001,75.89
05-Aug-2001,79.757
06-Aug-2001,82.011
07-Aug-2001,84.234
08-Aug-2001,86.508
09-Aug-2001,87.564
10-Aug-2001,87.697
11-Aug-2001,88.987
12-Aug-2001,92.217
13-Aug-2001,96.195
14-Aug-2001,99.131
15-Aug-2001,100.523
16-Aug-2001,101.264
17-Aug-2001,102.414
18-Aug-2001,104.47
19-Aug-2001,107.468
20-Aug-2001,111.076
21-Aug-2001,116.601
22-Aug-2001,122.271
23-Aug-2001,128.808
24-Aug-2001,134.921
25-Aug-2001,143.34
26-Aug-2001,152.06
27-Aug-2001,166.346
28-Aug-2001,179.652
29-Aug-2001,192.42
30-Aug-2001,203.801
31-Aug-2001,213.28
01-Sep-2001,221.987
02-Sep-2001,230.804
03-Sep-2001,239.751
04-Sep-2001,247.726
05-Sep-2001,252.585
06-Sep-2001,253.248
07-Sep-2001,250.21
08-Sep-2001,246.433
09-Sep-2001,244.145
10-Sep-2001,244.499
11-Sep-2001,247.806
12-Sep-2001,253.198
13-Sep-2001,259.768
14-Sep-2001,266.987
15-Sep-2001,274.486
16-Sep-2001,281.529
17-Sep-2001,288.114
18-Sep-2001,294.36
19-Sep-2001,300.247
20-Sep-2001,306.145
21-Sep-2001,312.06
22-Sep-2001,317.827
23-Sep-2001,323.423
24-Sep-2001,328.851
25-Sep-2001,333.96
26-Sep-2001,338.362
27-Sep-2001,341.805
28-Sep-2001,344.187
29-Sep-2001,345.885
30-Sep-2001,348.299
01-Oct-2001,351.072
02-Oct-2001,354.956
03-Oct-2001,360.391
04-Oct-2001,367.23
05-Oct-2001,375.07
06-Oct-2001,383.413
07-Oct-2001,391.852
08-Oct-2001,400.234
09-Oct-2001,408.591
10-Oct-2001,416.978
11-Oct-2001,425.423
12-Oct-2001,433.826
13-Oct-2001,442.054
14-Oct-2001,449.961
15-Oct-2001,457.413
16-Oct-2001,464.311
17-Oct-2001,470.591
18-Oct-2001,476.229
19-Oct-2001,481.239
20-Oct-2001,485.656
21-Oct-2001,489.534
22-Oct-2001,492.939
23-Oct-2001,495.938
24-Oct-2001,498.608
25-Oct-2001,501.008
26-Oct-2001,503.21
27-Oct-2001,505.289
28-Oct-2001,507.322
29-Oct-2001,509.389
30-Oct-2001,511.573
31-Oct-2001,513.943
01-Nov-2001,516.564
02-Nov-2001,519.473
03-Nov-2001,522.695
04-Nov-2001,526.232
05-Nov-2001,530.058
06-Nov-2001,534.136
07-Nov-2001,538.406
08-Nov-2001,542.803
09-Nov-2001,547.244
10-Nov-2001,551.644
11-Nov-2001,555.919
12-Nov-2001,559.982
13-Nov-2001,563.759
14-Nov-2001,567.176
15-Nov-2001,570.171
16-Nov-2001,572.686
17-Nov-2001,574.656
18-Nov-2001,575.999
19-Nov-2001,576.554
20-Nov-2001,575.978
21-Nov-2001,573.511
22-Nov-2001,567.428
23-Nov-2001,553.95
24-Nov-2001,525.472
25-Nov-2001,469.64
26-Nov-2001,373.429
27-Nov-2001,234.815
28-Nov-2001,87.602
29-Nov-2001,11.714
30-Nov-2001,4.405
01-Dec-2001,4.3
02-Dec-2001,4.259
03-Dec-2001,4.235
04-Dec-2001,4.215
05-Dec-2001,4.205
06-Dec-2001,4.185
07-Dec-2001,4.165
08-Dec-2001,4.145
09-Dec-2001,4.123
10-Dec-2001,4.11
11-Dec-2001,4.12
12-Dec-2001,4.12
13-Dec-2001,4.11
14-Dec-2001,4.1
15-Dec-2001,4.09
16-Dec-2001,4.08
17-Dec-2001,4.08
18-Dec-2001,4.085
19-Dec-2001,4.09
20-Dec-2001,4.08
21-Dec-2001,4.065
22-Dec-2001,4.055
23-Dec-2001,4.045
24-Dec-2001,4.035
25-Dec-2001,4.02
26-Dec-2001,4.01
27-Dec-2001,4.01
28-Dec-2001,4.01
29-Dec-2001,3.995
30-Dec-2001,3.985
31-Dec-2001,3.97
01-Jan-2002,3.96
02-Jan-2002,3.95
03-Jan-2002,3.945
04-Jan-2002,3.94
05-Jan-2002,3.94
06-Jan-2002,3.94
07-Jan-2002,3.94
08-Jan-2002,3.931
09-Jan-2002,3.925
10-Jan-2002,3.915
11-Jan-2002,3.909
12-Jan-2002,3.9
13-Jan-2002,3.895
14-Jan-2002,3.89
15-Jan-2002,3.885
16-Jan-2002,3.88
17-Jan-2002,3.875
18-Jan-2002,3.87
19-Jan-2002,3.865
20-Jan-2002,3.86
21-Jan-2002,3.86
22-Jan-2002,3.86
23-Jan-2002,3.855
24-Jan-2002,3.85
25-Jan-2002,3.84
26-Jan-2002,3.839
27-Jan-2002,3.83
28-Jan-2002,3.829
29-Jan-2002,3.82
30-Jan-2002,3.82
31-Jan-2002,3.81
01-Feb-2002,3.81
02-Feb-2002,3.805
03-Feb-2002,3.8
04-Feb-2002,3.8
05-Feb-2002,3.79
06-Feb-2002,3.79
07-Feb-2002,3.79
08-Feb-2002,3.78
09-Feb-2002,3.78
10-Feb-2002,3.78
11-Feb-2002,3.77
12-Feb-2002,3.77
13-Feb-2002,3.767
14-Feb-2002,3.76
15-Feb-2002,3.76
16-Feb-2002,3.75
17-Feb-2002,3.75
18-Feb-2002,3.74
19-Feb-2002,3.74
20-Feb-2002,3.74
21-Feb-2002,3.74
22-Feb-2002,3.735
23-Feb-2002,3.73
24-Feb-2002,3.725
25-Feb-2002,3.72
26-Feb-2002,3.715
27-Feb-2002,3.71
28-Feb-2002,3.705
01-Mar-2002,3.7
02-Mar-2002,3.7
03-Mar-2002,3.69
04-Mar-2002,3.69
05-Mar-2002,3.69
06-Mar-2002,3.68
07-Mar-2002,3.68
08-Mar-2002,3.68
09-Mar-2002,3.68
10-Mar-2002,3.68
11-Mar-2002,3.68
12-Mar-2002,3.67
13-Mar-2002,3.665
14-Mar-2002,3.66
15-Mar-2002,3.655
16-Mar-2002,3.65
17-Mar-2002,3.645
18-Mar-2002,3.64
19-Mar-2002,3.64
20-Mar-2002,3.63
21-Mar-2002,3.63
22-Mar-2002,3.626
23-Mar-2002,3.62
24-Mar-2002,3.62
25-Mar-2002,3.615
26-Mar-2002,3.61
27-Mar-2002,3.61
28-Mar-2002,3.61
29-Mar-2002,3.61
