Date,Daily Avg Q (cms)
01-Jan-2001,1.586
02-Jan-2001,1.58
03-Jan-2001,1.578
04-Jan-2001,1.57
05-Jan-2001,1.57
06-Jan-2001,1.56
07-Jan-2001,1.56
08-Jan-2001,1.56
09-Jan-2001,1.55
10-Jan-2001,1.55
11-Jan-2001,1.55
12-Jan-2001,1.545
13-Jan-2001,1.54
14-Jan-2001,1.54
15-Jan-2001,1.54
16-Jan-2001,1.53
17-Jan-2001,1.53
18-Jan-2001,1.53
19-Jan-2001,1.53
20-Jan-2001,1.527
21-Jan-2001,1.52
22-Jan-2001,1.52
23-Jan-2001,1.52
24-Jan-2001,1.52
25-Jan-2001,1.51
26-Jan-2001,1.51
27-Jan-2001,1.51
28-Jan-2001,1.51
29-Jan-2001,1.51
30-Jan-2001,1.5
31-Jan-2001,1.5
01-Feb-2001,1.5
02-Feb-2001,1.5
03-Feb-2001,1.5
04-Feb-2001,1.49
05-Feb-2001,1.49
06-Feb-2001,1.49
07-Feb-2001,1.49
08-Feb-2001,1.49
09-Feb-2001,1.485
10-Feb-2001,1.48
11-Feb-2001,1.48
12-Feb-2001,1.48
13-Feb-2001,1.48
14-Feb-2001,1.48
15-Feb-2001,1.475
16-Feb-2001,1.47
17-Feb-2001,1.47
18-Feb-2001,1.47
19-Feb-2001,1.47
20-Feb-2001,1.47
21-Feb-2001,1.465
22-Feb-2001,1.46
23-Feb-2001,1.46
24-Feb-2001,1.46
25-Feb-2001,1.46
26-Feb-2001,1.46
27-Feb-2001,1.455
28-Feb-2001,1.45
01-Mar-2001,1.45
02-Mar-2001,1.45
03-Mar-2001,1.45
04-Mar-2001,1.45
05-Mar-2001,1.45
06-Mar-2001,1.445
07-Mar-2001,1.44
08-Mar-2001,1.44
09-Mar-2001,1.44
10-Mar-2001,1.44
11-Mar-2001,1.44
12-Mar-2001,1.435
13-Mar-2001,1.43
14-Mar-2001,1.43
15-Mar-2001,1.43
16-Mar-2001,1.43
17-Mar-2001,1.43
18-Mar-2001,1.43
19-Mar-2001,1.43
20-Mar-2001,1.435
21-Mar-2001,1.455
22-Mar-2001,1.475
23-Mar-2001,1.473
24-Mar-2001,1.46
25-Mar-2001,1.45
26-Mar-2001,1.45
27-Mar-2001,1.44
28-Mar-2001,1.44
29-Mar-2001,1.45
30-Mar-2001,1.475
31-Mar-2001,1.513
01-Apr-2001,1.537
02-Apr-2001,1.575
03-Apr-2001,1.689
04-Apr-2001,1.877
05-Apr-2001,2.179
06-Apr-2001,2.654
07-Apr-2001,3.266
08-Apr-2001,3.924
09-Apr-2001,4.623
10-Apr-2001,5.35
11-Apr-2001,6.049
12-Apr-2001,6.596
13-Apr-2001,6.843
14-Apr-2001,6.747
15-Apr-2001,6.418
16-Apr-2001,5.882
17-Apr-2001,4.963
18-Apr-2001,3.916
19-Apr-2001,3.432
20-Apr-2001,3.326
21-Apr-2001,3.406
22-Apr-2001,3.645
23-Apr-2001,4.136
24-Apr-2001,4.894
25-Apr-2001,5.719
26-Apr-2001,6.389
27-Apr-2001,6.85
28-Apr-2001,7.139
29-Apr-2001,7.285
30-Apr-2001,7.415
01-May-2001,7.706
02-May-2001,8.204
03-May-2001,8.847
04-May-2001,9.536
05-May-2001,10.194
06-May-2001,10.8
07-May-2001,11.421
08-May-2001,12.159
09-May-2001,12.913
10-May-2001,13.575
11-May-2001,14.095
12-May-2001,14.57
13-May-2001,15.219
14-May-2001,16.151
15-May-2001,17.259
16-May-2001,18.301
17-May-2001,19.027
18-May-2001,19.483
19-May-2001,20.102
20-May-2001,21.212
21-May-2001,22.809
22-May-2001,24.649
23-May-2001,26.535
24-May-2001,28.446
25-May-2001,30.321
26-May-2001,32.158
27-May-2001,34.03
28-May-2001,35.831
29-May-2001,37.415
30-May-2001,38.8
31-May-2001,40.081
01-Jun-2001,41.298
02-Jun-2001,42.321
03-Jun-2001,42.747
04-Jun-2001,41.956
05-Jun-2001,39.436
06-Jun-2001,36.125
07-Jun-2001,34.416
08-Jun-2001,35.081
09-Jun-2001,37.207
10-Jun-2001,39.505
11-Jun-2001,40.685
12-Jun-2001,39.958
13-Jun-2001,37.655
14-Jun-2001,34.491
15-Jun-2001,31.395
16-Jun-2001,29.328
17-Jun-2001,28.461
18-Jun-2001,28.496
19-Jun-2001,29.05
20-Jun-2001,29.895
21-Jun-2001,31.089
22-Jun-2001,32.469
23-Jun-2001,33.815
24-Jun-2001,34.93
25-Jun-2001,35.17
26-Jun-2001,34.498
27-Jun-2001,33.61
28-Jun-2001,32.802
29-Jun-2001,32.093
30-Jun-2001,31.344
01-Jul-2001,30.705
02-Jul-2001,30.495
03-Jul-2001,30.383
04-Jul-2001,29.875
05-Jul-2001,29.071
06-Jul-2001,28.451
07-Jul-2001,28.248
08-Jul-2001,28.299
09-Jul-2001,28.423
10-Jul-2001,28.581
11-Jul-2001,29.348
12-Jul-2001,30.85
13-Jul-2001,32.807
14-Jul-2001,34.919
15-Jul-2001,36.501
16-Jul-2001,37.127
17-Jul-2001,36.817
18-Jul-2001,35.889
19-Jul-2001,35.015
20-Jul-2001,35.309
21-Jul-2001,35.955
22-Jul-2001,36.605
23-Jul-2001,37.824
24-Jul-2001,39.679
25-Jul-2001,42.065
26-Jul-2001,44.295
27-Jul-2001,45.828
28-Jul-2001,46.623
29-Jul-2001,46.633
30-Jul-2001,45.385
31-Jul-2001,44.177
01-Aug-2001,44.985
02-Aug-2001,47.35
03-Aug-2001,50.261
04-Aug-2001,53.588
05-Aug-2001,56.893
06-Aug-2001,59.594
07-Aug-2001,62.096
08-Aug-2001,64.915
09-Aug-2001,67.931
10-Aug-2001,70.566
11-Aug-2001,72.187
12-Aug-2001,72.798
13-Aug-2001,73.368
14-Aug-2001,74.981
15-Aug-2001,77.917
16-Aug-2001,81.61
17-Aug-2001,85.391
18-Aug-2001,88.877
19-Aug-2001,91.755
20-Aug-2001,93.919
21-Aug-2001,97.605
22-Aug-2001,100.785
23-Aug-2001,102.047
24-Aug-2001,103.275
25-Aug-2001,110.32
26-Aug-2001,117.815
27-Aug-2001,127.399
28-Aug-2001,135.659
29-Aug-2001,143.603
30-Aug-2001,152.168
31-Aug-2001,161.776
01-Sep-2001,171.845
02-Sep-2001,181.519
03-Sep-2001,190.156
04-Sep-2001,197.657
05-Sep-2001,204.041
06-Sep-2001,209.618
07-Sep-2001,213.793
08-Sep-2001,216.811
09-Sep-2001,218.029
10-Sep-2001,217.342
11-Sep-2001,215.568
12-Sep-2001,214.247
13-Sep-2001,214.407
14-Sep-2001,216.534
15-Sep-2001,220.32
16-Sep-2001,225.198
17-Sep-2001,231.092
18-Sep-2001,237.505
19-Sep-2001,243.416
20-Sep-2001,248.48
21-Sep-2001,252.434
22-Sep-2001,255.291
23-Sep-2001,257.151
