Time,Discharge(m^3 s^-1),Max,Min
2002-01-01,10.3,11.81,9.11
2002-01-02,8.065000000000001,9.06,7.36
2002-01-03,6.865,7.33,6.54
2002-01-04,6.265,6.53,6.16
2002-01-05,6.0,6.28,5.92
2002-01-06,7.324999999999999,8.22,6.33
2002-01-07,9.469999999999999,10.41,8.26
2002-01-08,10.575,10.6,10.44
2002-01-09,10.850000000000001,11.39,10.55
2002-01-10,12.469999999999999,13.34,11.43
2002-01-11,13.754999999999999,13.82,13.38
2002-01-12,13.735,13.82,13.71
2002-01-13,14.364999999999998,15.22,13.83
2002-01-14,17.075,18.96,15.28
2002-01-15,20.880000000000003,21.71,19.05
2002-01-16,20.994999999999997,21.71,19.84
2002-01-17,18.42,19.78,17.46
2002-01-18,16.63,17.42,15.93
2002-01-19,14.965,15.89,14.1
2002-01-20,13.059999999999999,14.06,12.19
2002-01-21,11.19,12.15,10.37
2002-01-22,9.5,10.34,8.83
2002-01-23,8.17,8.8,7.67
2002-01-24,7.1850000000000005,7.65,6.81
2002-01-25,6.46,6.8,6.2
2002-01-26,5.93,6.18,5.72
2002-01-27,5.505,5.71,5.34
2002-01-28,5.165,5.33,5.02
2002-01-29,4.880000000000001,5.02,4.77
2002-01-30,4.66,4.76,4.58
2002-01-31,4.515000000000001,4.58,4.48
2002-02-01,4.51,4.64,4.47
2002-02-02,5.015000000000001,5.42,4.65
2002-02-03,5.88,6.19,5.44
2002-02-04,6.279999999999999,6.31,6.2
2002-02-05,5.945,6.2,5.69
2002-02-06,5.404999999999999,5.68,5.19
2002-02-07,4.98,5.18,4.83
2002-02-08,4.6899999999999995,4.82,4.59
2002-02-09,4.505,4.59,4.44
2002-02-10,4.375,4.43,4.33
2002-02-11,4.279999999999999,4.32,4.25
2002-02-12,4.225,4.25,4.22
2002-02-13,4.235,4.25,4.22
2002-02-14,4.279999999999999,4.31,4.25
2002-02-15,4.37,4.44,4.31
2002-02-16,4.63,4.89,4.44
