Time,Discharge(m^3 s^-1),Max,Min
2003-07-01,0.0,0.0,0.0
2003-07-02,0.0,0.0,0.0
2003-07-03,0.0,0.0,0.0
2003-07-04,0.0,0.0,0.0
2003-07-05,0.0,0.0,0.0
2003-07-06,0.0,0.0,0.0
2003-07-07,0.0,0.0,0.0
2003-07-08,0.0,0.0,0.0
2003-07-09,0.0,0.0,0.0
2003-07-10,0.0,0.0,0.0
2003-07-11,0.0,0.0,0.0
2003-07-12,0.0,0.0,0.0
2003-07-13,0.0,0.0,0.0
2003-07-14,0.0,0.0,0.0
2003-07-15,0.0,0.0,0.0
2003-07-16,0.035,0.16,0.0
2003-07-17,0.875,1.88,0.18
2003-07-18,5.51,8.05,1.99
2003-07-19,7.96,8.2,7.52
2003-07-20,7.01,7.5,6.82
2003-07-21,7.115,7.54,5.92
2003-07-22,4.375,5.85,3.5
2003-07-23,3.12,3.48,2.91
2003-07-24,2.465,2.9,2.04
2003-07-25,1.675,2.03,1.42
2003-07-26,1.24,1.41,1.12
2003-07-27,0.95,1.12,0.79
2003-07-28,0.655,0.79,0.56
2003-07-29,0.49,0.56,0.44
2003-07-30,0.4,0.44,0.37
2003-07-31,0.345,0.37,0.33
2003-08-01,0.8699999999999999,1.29,0.37
2003-08-02,1.13,1.29,0.91
2003-08-03,0.7050000000000001,0.9,0.58
2003-08-04,0.47,0.57,0.4
2003-08-05,0.33999999999999997,0.4,0.3
2003-08-06,0.26,0.3,0.23
2003-08-07,0.21000000000000002,0.23,0.19
2003-08-08,0.175,0.19,0.16
2003-08-09,0.14500000000000002,0.16,0.14
2003-08-10,0.125,0.14,0.12
2003-08-11,0.18,0.41,0.13
2003-08-12,1.22,1.77,0.44
2003-08-13,2.335,2.98,1.79
2003-08-14,3.505,4.17,3.03
2003-08-15,5.380000000000001,5.6,4.24
2003-08-16,4.445,5.26,3.65
2003-08-17,2.745,3.61,2.1
2003-08-18,1.605,2.08,1.29
2003-08-19,1.035,1.28,0.87
2003-08-20,0.7150000000000001,0.86,0.62
2003-08-21,0.53,0.61,0.47
2003-08-22,0.435,0.47,0.4
2003-08-23,0.395,0.4,0.39
2003-08-24,0.38,0.4,0.36
2003-08-25,0.315,0.36,0.29
2003-08-26,0.275,0.29,0.26
2003-08-27,0.24,0.26,0.22
2003-08-28,0.20500000000000002,0.22,0.2
2003-08-29,0.19,0.2,0.19
2003-08-30,0.175,0.19,0.16
2003-08-31,0.155,0.16,0.15
2003-09-01,0.15,0.15,0.15
2003-09-02,0.15,0.15,0.14
2003-09-03,0.14,0.14,0.14
2003-09-04,0.13,0.14,0.13
2003-09-05,0.125,0.14,0.12
2003-09-06,0.18,0.23,0.14
2003-09-07,0.25,0.25,0.23
2003-09-08,0.275,0.31,0.25
2003-09-09,0.41500000000000004,0.61,0.31
2003-09-10,0.655,0.69,0.57
2003-09-11,0.45499999999999996,0.56,0.42
2003-09-12,0.495,0.52,0.42
2003-09-13,0.44499999999999995,0.5,0.38
2003-09-14,0.41500000000000004,0.47,0.38
2003-09-15,0.45999999999999996,0.47,0.43
2003-09-16,0.4,0.43,0.39
2003-09-17,0.38,0.39,0.37
2003-09-18,0.35,0.37,0.33
2003-09-19,0.365,0.48,0.33
2003-09-20,0.785,0.98,0.49
2003-09-21,1.1099999999999999,1.16,0.99
2003-09-22,1.12,1.16,1.08
2003-09-23,1.125,1.25,1.08
2003-09-24,4.855,8.79,1.27
2003-09-25,8.870000000000001,9.67,7.64
2003-09-26,8.355,9.14,7.64
2003-09-27,10.870000000000001,11.61,9.23
2003-09-28,9.855,11.58,8.1
2003-09-29,6.73,8.04,5.87
2003-09-30,5.86,5.97,5.77
2003-10-01,5.945,6.14,5.48
2003-10-02,5.295,5.45,5.18
2003-10-03,5.109999999999999,5.45,4.76
2003-10-04,4.5649999999999995,4.75,4.52
