X,Y,Code,Source,Station,Corr FACC1
-8.66259443,11.68008961,"1134030",GRDC,BANANKORO,84083.000000000000000
-7.554417,12.87029508,"1134100",GRDC,KOULIKORO,140084.000000000000000
-6.05427386,13.71262364,"1134250",GRDC,KIRANGO AVAL,157425.000000000000000
-5.89945401424021,13.2129088922433,"1134300",GRDC,DOUNA,120988.000000000000000
-4.19591299,14.52905061,"1134500",GRDC,NANTAKA (MOPTI),327192.000000000000000
-3.37925914,16.27021696,"1134700",GRDC,DIRE,431626.000000000000000
-3.02877135,16.65442189,"1134730",GRDC,KORYOUME,452060.000000000000000
0.49575742,15.66226249,"1134900",GRDC,ANSONGO,636957.000000000000000
0.98001559,14.61269233,"1234090",GRDC,KANDADJI,716961.999999999883585
1.61213422,13.73727601,"1234130",GRDC,GARBE-KOUROU,46943.000000000000000
2.08754638,13.51269902,"1234150",GRDC,NIAMEY,802435.000000000000000
2.62124673276123,12.571359407918,"1234201",GRDC,W,859881.999999999883585
12.60355495,13.27083461,"1237500",GRDC,BAGARA DIFFA,182258.000000000000000
-11.143,7.328,"1320100",GRDC,MANO KONGO,6693.000000000000000
-10.078,8.278,"1320150",GRDC,KOLBA,775.000000000000000
-10.21266694,8.00422689,"1320160",GRDC,MBALOMA,1311.000000000000000
-10.87951218,7.07070547,"1321880",GRDC,LOFA BRIDGE,9543.000000000000000
-9.818731,7.202586,"1322840",GRDC,PIATTA,16233.000000000000000
-10.36175,6.90211,"1322880",GRDC,HAINDI,21578.000000000000000
-9.526,6.466,"1323550",GRDC,FRANK DIGGS,13014.000000000000000
-9.87,6.084,"1323580",GRDC,MT. FINLAY,18637.000000000000000
-9.32022323,5.62059043,"1324580",GRDC,ITI,13714.000000000000000
-6.36230102,9.8790937,"1434820",GRDC,KOUTO AMONT,5637.000000000000000
-2.12044907,5.44638802,"1526200",GRDC,PRESTEA,5079.000000000000000
-1.6372126,5.16257617,"1526300",GRDC,DABOASI,26651.000000000000000
-0.59602026,5.38009846,"1526801",GRDC,OKYEREKO (W/ROAD),1987.000000000000000
-2.93758781,10.63749677,"1531050",GRDC,LAWRA,121380.000000000000000
-2.03700012,8.14632178,"1531100",GRDC,BAMBOI,165494.000000000000000
-0.883167,7.97904708,"1531300",GRDC,PRANG,7587.000000000000000
-1.28761848,10.24565742,"1531420",GRDC,YAGABA,12184.000000000000000
-1.32900525,10.33779895,"1531430",GRDC,WIASI,14801.000000000000000
-1.08766845,9.69597511,"1531450",GRDC,NAWUNI,115212.000000000000000
-0.84610277,10.57903346,"1531550",GRDC,PWALAGU,68970.000000000000000
-0.37961684,10.97976016,"1531600",GRDC,YARUGU,50018.000000000000000
-0.60377024,10.87034052,"1531650",GRDC,NANGODI,13136.000000000000000
0.22969133,9.30391672,"1531800",GRDC,SABARI,71576.000000000000000
-12.89598781,10.5039314,"1616700",GRDC,PONT DE TELIMELE,4155.000000000000000
-12.5287633801511,9.92031388948822,"1617800",GRDC,BADERA,1810.000000000000000
-12.4456563,11.08722012,"1617900",GRDC,DIAWLA,671.000000000000000
-10.32924722,8.50433343,"1619600",GRDC,NONGOA,8005.000000000000000
-9.06205203,8.06239307,"1622500",GRDC,BAC,4695.000000000000000
-10.74602872,10.03739975,"1634200",GRDC,FARANAH,3799.000000000000000
-9.87080226,10.64606456,"1634400",GRDC,KOUROUSSA,19866.000000000000000
-9.296731128,10.36308754,"1634500",GRDC,KANKAN,11304.000000000000000
-9.02953624,9.270962317,"1634560",GRDC,KEROUANE,2048.000000000000000
1.60625,6.90208,"1732100",GRDC,ATHIEME,24964.000000000000000
2.445591115,6.904008267,"1733600",GRDC,BONOU,56904.000000000000000
