date;discharge
1995-09-01;     10.580
1995-09-02;     10.580
1995-09-03;     10.580
1995-09-04;     10.580
1995-09-05;     10.811
1995-09-06;     10.811
1995-09-07;     10.811
1995-09-08;     11.045
1995-09-09;     11.045
1995-09-10;     11.045
1995-09-11;     11.045
1995-09-12;     11.045
1995-09-13;     11.281
1995-09-14;     11.281
1995-09-15;     11.520
1995-09-16;     11.761
1995-09-17;     12.005
1995-09-18;     12.251
1995-09-19;     12.251
1995-09-20;     12.500
1995-09-21;     12.751
1995-09-22;     12.751
1995-09-23;     12.751
1995-09-24;     13.005
1995-09-25;     13.005
1995-09-26;     13.005
1995-09-27;     13.005
1995-09-28;     13.261
1995-09-29;     13.520
1995-09-30;     13.520
1995-10-01;     13.781
1995-10-02;     13.781
1995-10-03;     14.045
1995-10-04;     14.045
1995-10-05;     14.045
1995-10-06;     14.045
1995-10-07;     14.045
1995-10-08;     14.045
1995-10-09;     14.311
1995-10-10;     14.311
1995-10-11;     14.311
1995-10-12;     14.311
1995-10-13;     14.311
1995-10-14;     14.311
1995-10-15;     14.311
1995-10-16;     14.311
1995-10-17;     14.045
1995-10-18;     14.045
1995-10-19;     14.045
1995-10-20;     14.045
1995-10-21;     13.781
1995-10-22;     13.520
1995-10-23;     13.261
1995-10-24;     13.005
1995-10-25;     12.751
1995-10-26;     12.500
1995-10-27;     12.500
1995-10-28;     12.251
1995-10-29;     12.005
1995-10-30;     11.761
1995-10-31;     11.520
1995-11-01;     11.281
1995-11-02;     11.045
1995-11-03;     10.811
1995-11-04;     10.580
1995-11-05;     10.580
1995-11-06;     10.580
1995-11-07;     10.351
1995-11-08;     10.125
1995-11-09;     10.125
1995-11-10;     10.125
1995-11-11;     10.125
1995-11-12;      9.901
1995-11-13;      9.901
1995-11-14;      9.680
1995-11-15;      9.680
1995-11-16;      9.680
1995-11-17;      9.461
1995-11-18;      9.461
1995-11-19;      9.245
1995-11-20;      9.031
1995-11-21;      9.031
1995-11-22;      9.031
1995-11-23;      7.031
1995-11-24;      7.031
1995-11-25;      7.031
1995-11-26;      8.820
1995-11-27;      8.820
1995-11-28;      8.820
1995-11-29;      8.611
1995-11-30;      8.611
1995-12-01;      8.611
1995-12-02;      8.611
1995-12-03;      8.611
1995-12-04;      8.405
1995-12-05;      8.405
1995-12-06;      8.405
1995-12-07;      8.405
1995-12-08;      8.201
1995-12-09;      8.201
1995-12-10;      8.000
1995-12-11;      8.000
1995-12-12;      7.801
1995-12-13;      7.801
1995-12-14;      7.605
1995-12-15;      7.605
1995-12-16;      7.411
1995-12-17;      7.220
1995-12-18;      7.220
