Station Code,River,Station,Country,Latitude,Longitude,Time series start,Time series end,File length (lines)
1112100,SENEGAL FLEUVE,KAYES,ML,14.45,-11.28,1981-01,1990-12,3688
1112110,KOLINBINE,KABATE,ML,14.49434,-11.2024,1981-01,1990-12,3688
1112200,FALEME RIVIERE,GOURBASSY,ML,13.25208,-11.52292,1981-01,1990-12,3688
1112300,SENEGAL FLEUVE,GALOUGO,ML,13.84792,-11.05625,1981-01,1990-12,3688
1112320,BAKOYE,OUALIA,ML,13.59792,-10.37292,1981-01,1990-12,3688
1112330,BAOULE,SIRAMAKANA,ML,13.5724,-9.8854,1981-01,1990-12,3688
1112340,BAKOYE,TOUKOTO,ML,13.45,-9.88,1987-01,1990-12,1497
1112350,BAFING,DIBIA,ML,13.22708,-10.79375,1981-01,1990-12,3688
1112400,FALEME RIVIERE,FADOUGOU,ML,12.53542,-11.38542,1981-01,1990-12,3688
1112480,BAFING,DAKA SAYDOU,ML,11.92708,-10.63542,1981-01,1990-12,3688
1112500,BAFING,BAFING MAKANA,ML,12.4354,-10.3146,1981-01,1990-12,3688
1134020,SANKARANI,GUELELINKORO,ML,11.15,-8.55,1971-06,1979-12,3172
1134030,RIVER NIGER,BANANKORO,ML,11.6833,-8.6667,1967-09,2001-04,12331
1134040,SANKARANI,GOUALA,ML,11.97,-8.23,1954-03,1990-12,13474
1134050,SANKARANI,SELINGUE,ML,11.58,-8.17,1964-06,1992-12,10472
1134060,OUASSOULOU,YANFOLILA,ML,11.13,-8.2,1971-05,1979-12,3203
1134080,BAOULE,MADINA DIASSA,ML,10.8,-7.67,1971-11,1992-12,7768
1134100,RIVER NIGER,KOULIKORO,ML,12.8667,-7.55,1907-01,2006-01,36227
1134110,BAOULE,BOUGOUNI,ML,11.4,-7.45,1956-03,1992-12,13483
1134150,BANIFING,KOLONDIEBA,ML,11.07,-6.85,1972-01,1992-12,7707
1134200,BAOULE,DIOILA,ML,12.52,-6.8,1953-05,1992-12,14517
1134220,BAGOE,PANKOUROU,ML,11.42,-6.57,1956-03,1992-12,13484
1134250,RIVER NIGER,KIRANGO AVAL,ML,13.7167,-6.05,1925-01,2001-04,27915
