Years	 Months 	Days	Ahlan	Atchakpa	Atcherigbe	Beterou	Bonou	Dome	Kaboua
1948	1	1	NA	NA	NA	NA	NA	NA	NA
1948	1	2	NA	NA	NA	NA	NA	NA	NA
1948	1	3	NA	NA	NA	NA	NA	NA	NA
1948	1	4	NA	NA	NA	NA	NA	NA	NA
1948	1	5	NA	NA	NA	NA	NA	NA	NA
1948	1	6	NA	NA	NA	NA	NA	NA	NA
1948	1	7	NA	NA	NA	NA	NA	NA	NA
1948	1	8	NA	NA	NA	NA	NA	NA	NA
1948	1	9	NA	NA	NA	NA	NA	NA	NA
1948	1	10	NA	NA	NA	NA	NA	NA	NA
1948	1	11	NA	NA	NA	NA	NA	NA	NA
1948	1	12	NA	NA	NA	NA	NA	NA	NA
1948	1	13	NA	NA	NA	NA	NA	NA	NA
1948	1	14	NA	NA	NA	NA	NA	NA	NA
1948	1	15	NA	NA	NA	NA	NA	NA	NA
1948	1	16	NA	NA	NA	NA	NA	NA	NA
1948	1	17	NA	NA	NA	NA	NA	NA	NA
1948	1	18	NA	NA	NA	NA	NA	NA	NA
1948	1	19	NA	NA	NA	NA	NA	NA	NA
1948	1	20	NA	NA	NA	NA	NA	NA	NA
1948	1	21	NA	NA	NA	NA	NA	NA	NA
1948	1	22	NA	NA	NA	NA	NA	NA	NA
1948	1	23	NA	NA	NA	NA	NA	NA	NA
1948	1	24	NA	NA	NA	NA	NA	NA	NA
1948	1	25	NA	NA	NA	NA	NA	NA	NA
1948	1	26	NA	NA	NA	NA	NA	NA	NA
1948	1	27	NA	NA	NA	NA	NA	NA	NA
1948	1	28	NA	NA	NA	NA	NA	NA	NA
1948	1	29	NA	NA	NA	NA	NA	NA	NA
1948	1	30	NA	NA	NA	NA	NA	NA	NA
1948	1	31	NA	NA	NA	NA	NA	NA	NA
1948	2	1	NA	NA	NA	NA	NA	NA	NA
1948	2	2	NA	NA	NA	NA	NA	NA	NA
1948	2	3	NA	NA	NA	NA	NA	NA	NA
1948	2	4	NA	NA	NA	NA	NA	NA	NA
1948	2	5	NA	NA	NA	NA	NA	NA	NA
1948	2	6	NA	NA	NA	NA	NA	NA	NA
1948	2	7	NA	NA	NA	NA	NA	NA	NA
1948	2	8	NA	NA	NA	NA	NA	NA	NA
1948	2	9	NA	NA	NA	NA	NA	NA	NA
1948	2	10	NA	NA	NA	NA	NA	NA	NA
1948	2	11	NA	NA	NA	NA	NA	NA	NA
1948	2	12	NA	NA	NA	NA	NA	NA	NA
1948	2	13	NA	NA	NA	NA	NA	NA	NA
1948	2	14	NA	NA	NA	NA	NA	NA	NA
1948	2	15	NA	NA	NA	NA	NA	NA	NA
1948	2	16	NA	NA	NA	NA	NA	NA	NA
1948	2	17	NA	NA	NA	NA	NA	NA	NA
1948	2	18	NA	NA	NA	NA	NA	NA	NA
1948	2	19	NA	NA	NA	NA	NA	NA	NA
1948	2	20	NA	NA	NA	NA	NA	NA	NA
1948	2	21	NA	NA	NA	NA	NA	NA	NA
1948	2	22	NA	NA	NA	NA	NA	NA	NA
1948	2	23	NA	NA	NA	NA	NA	NA	NA
1948	2	24	NA	NA	NA	NA	NA	NA	NA
1948	2	25	NA	NA	NA	NA	NA	NA	NA
1948	2	26	NA	NA	NA	NA	NA	NA	NA
1948	2	27	NA	NA	NA	NA	NA	NA	NA
1948	2	28	NA	NA	NA	NA	NA	NA	NA
1948	2	29	NA	NA	NA	NA	NA	NA	NA
1948	3	1	NA	NA	NA	NA	NA	NA	NA
1948	3	2	NA	NA	NA	NA	NA	NA	NA
1948	3	3	NA	NA	NA	NA	NA	NA	NA
1948	3	4	NA	NA	NA	NA	NA	NA	NA
1948	3	5	NA	NA	NA	NA	NA	NA	NA
1948	3	6	NA	NA	NA	NA	NA	NA	NA
1948	3	7	NA	NA	NA	NA	NA	NA	NA
1948	3	8	NA	NA	NA	NA	NA	NA	NA
1948	3	9	NA	NA	NA	NA	NA	NA	NA
1948	3	10	NA	NA	NA	NA	NA	NA	NA
1948	3	11	NA	NA	NA	NA	NA	NA	NA
1948	3	12	NA	NA	NA	NA	NA	NA	NA
1948	3	13	NA	NA	NA	NA	NA	NA	NA
1948	3	14	NA	NA	NA	NA	NA	NA	NA
1948	3	15	NA	NA	NA	NA	NA	NA	NA
1948	3	16	NA	NA	NA	NA	NA	NA	NA
1948	3	17	NA	NA	NA	NA	NA	NA	NA
1948	3	18	NA	NA	NA	NA	NA	NA	NA
1948	3	19	NA	NA	NA	NA	NA	NA	NA
1948	3	20	NA	NA	NA	NA	NA	NA	NA
1948	3	21	NA	NA	NA	NA	NA	NA	NA
1948	3	22	NA	NA	NA	NA	NA	NA	NA
1948	3	23	NA	NA	NA	NA	NA	NA	NA
1948	3	24	NA	NA	NA	NA	NA	NA	NA
1948	3	25	NA	NA	NA	NA	NA	NA	NA
1948	3	26	NA	NA	NA	NA	NA	NA	NA
1948	3	27	NA	NA	NA	NA	NA	NA	NA
1948	3	28	NA	NA	NA	NA	NA	NA	NA
1948	3	29	NA	NA	NA	NA	NA	NA	NA
1948	3	30	NA	NA	NA	NA	NA	NA	NA
1948	3	31	NA	NA	NA	NA	NA	NA	NA
1948	4	1	NA	NA	NA	NA	NA	NA	NA
1948	4	2	NA	NA	NA	NA	NA	NA	NA
1948	4	3	NA	NA	NA	NA	NA	NA	NA
1948	4	4	NA	NA	NA	NA	NA	NA	NA
1948	4	5	NA	NA	NA	NA	NA	NA	NA
1948	4	6	NA	NA	NA	NA	NA	NA	NA
1948	4	7	NA	NA	NA	NA	NA	NA	NA
1948	4	8	NA	NA	NA	NA	NA	NA	NA
